property	
http://aims.fao.org/aos/agrontology	isUsedToMake
http://aims.fao.org/aos/agrontology	isUseOf
http://aims.fao.org/aos/agrontology	m49Code
http://aims.fao.org/aos/agrontology	makeUseOf
http://aims.fao.org/aos/agrontology	measures
http://aims.fao.org/aos/agrontology	performs
http://aims.fao.org/aos/agrontology	pestOf
http://aims.fao.org/aos/agrontology	precedes
http://aims.fao.org/aos/agrontology	prevents
http://aims.fao.org/aos/agrontology	produces
http://aims.fao.org/aos/agrontology	productOf
http://aims.fao.org/aos/agrontology	quantitativeRelationship
http://aims.fao.org/aos/agrontology	scientificNameOf
http://aims.fao.org/aos/agrontology	smallerThan
http://aims.fao.org/aos/agrontology	spatiallyIncludes
http://aims.fao.org/aos/agrontology	spellingVariant
http://aims.fao.org/aos/agrontology	study
http://aims.fao.org/aos/agrontology	surroundedBy
http://aims.fao.org/aos/agrontology	surrounds
http://aims.fao.org/aos/agrontology	taxonomicRelationship
http://aims.fao.org/aos/agrontology	typeOf
http://aims.fao.org/aos/agrontology	usesProcess
http://aims.fao.org/aos/agrontology	usingValue
http://aims.fao.org/aos/agrontology	valueUsedIn
http://aims.fao.org/aos/agrovoc/temporary/labelToRemoveValue	
http://aims.fao.org/aos/agrovoc/temporary/newAltLabelValue	
http://aims.fao.org/aos/agrovoc/temporary/oldAltLabelValue	
http://aims.fao.org/aos/agrovoc/temporary/updateDate	
http://art.uniroma2.it/ontologies/vocbench	hasSource
http://purl.org/dc/terms/created	
http://purl.org/dc/terms/isReplacedBy	
http://purl.org/dc/terms/modified	
http://purl.org/dc/terms/source	
http://purl.org/vocommons/voaf	classNumber
http://purl.org/vocommons/voaf	dataset
http://purl.org/vocommons/voaf	propertyNumber
http://rdfs.org/ns/void	inDataset
http://www.w3.org/1999/02/22-rdf-syntax-ns	first
http://www.w3.org/1999/02/22-rdf-syntax-ns	rest
http://www.w3.org/1999/02/22-rdf-syntax-ns	type
http://www.w3.org/1999/02/22-rdf-syntax-ns	value
http://www.w3.org/2000/01/rdf-schema	comment
http://www.w3.org/2000/01/rdf-schema	domain
http://www.w3.org/2000/01/rdf-schema	label
http://www.w3.org/2000/01/rdf-schema	range
http://www.w3.org/2000/01/rdf-schema	subPropertyOf
http://www.w3.org/2002/07/owl	complementOf
http://www.w3.org/2002/07/owl	deprecated
http://www.w3.org/2002/07/owl	equivalentClass
http://www.w3.org/2002/07/owl	imports
http://www.w3.org/2002/07/owl	inverseOf
http://www.w3.org/2002/07/owl	oneOf
http://www.w3.org/2002/07/owl	unionOf
http://www.w3.org/2004/02/skos/core	altLabel
http://www.w3.org/2004/02/skos/core	broader
http://www.w3.org/2004/02/skos/core	broadMatch
http://www.w3.org/2004/02/skos/core	changeNote
http://www.w3.org/2004/02/skos/core	closeMatch
http://www.w3.org/2004/02/skos/core	definition
http://www.w3.org/2004/02/skos/core	editorialNote
http://www.w3.org/2004/02/skos/core	exactMatch
http://www.w3.org/2004/02/skos/core	example
http://www.w3.org/2004/02/skos/core	hasTopConcept
http://www.w3.org/2004/02/skos/core	historyNote
http://www.w3.org/2004/02/skos/core	inScheme
http://www.w3.org/2004/02/skos/core	narrower
http://www.w3.org/2004/02/skos/core	narrowMatch
http://www.w3.org/2004/02/skos/core	notation
http://www.w3.org/2004/02/skos/core	note
http://www.w3.org/2004/02/skos/core	prefLabel
http://www.w3.org/2004/02/skos/core	related
http://www.w3.org/2004/02/skos/core	relatedMatch
http://www.w3.org/2004/02/skos/core	scopeNote
http://www.w3.org/2004/02/skos/core	topConceptOf
http://www.w3.org/2008/05/skos-xl	altLabel
http://www.w3.org/2008/05/skos-xl	literalForm
http://www.w3.org/2008/05/skos-xl	prefLabel
http://xmlns.com/foaf/0.1/depiction	
